"ID","Area / Screen","Feature name","User story","Expected behavior","Relevant files / functions / selectors","Test steps","Actual result","Status","Bug / UX issue found","Severity","Fix notes","Retest result","Final status"
"F001","Setup","Resume active campaign","As a returning player, I want to resume my saved campaign, So that I can continue without reselecting setup options.","When activeCampaignState exists, the setup screen shows a resume card and restores the selected country, scenario, language, diplomatic partner, and active state.","Apple/PaxHistoriaApple/CountrySelectionView.swift resumeBanner; Apple/PaxHistoriaApple/NativeCampaignStore.swift resumeActiveCampaign; selector native-resume-campaign","Review setup/resume code; run macOS XCTest suite; verify launch succeeds.","Resume path is implemented and covered by persistence tests for active campaign restoration.","Retest passed","None","None","No fix needed.","Passed in full macOS XCTest run.","Done"
"F002","Setup","Scenario archive selection","As a strategy player, I want to choose a scenario before starting, So that the campaign begins in the intended historical timeline.","Scenario cards show the catalog, selecting one updates selectedScenarioID, and country names/starting state reflect the selected scenario.","Apple/PaxHistoriaApple/CountrySelectionView.swift scenarioDeck; Apple/PaxHistoriaApple/NativeScenarioCatalog.swift; selectors native-scenario-option-*","Review scenario picker and scenario catalog; run macOS XCTest suite.","Scenario selection is implemented and backed by scenario expansion/customization tests.","Retest passed","None","None","No fix needed.","Passed in full macOS XCTest run.","Done"
"F003","Setup and Settings","Language selection","As a player, I want to choose the app language, So that game content and UI use my preferred language.","Language picker updates store.selectedLanguage, app language preferences, and game state language; settings explains that restart may be required for full interface refresh.","Apple/PaxHistoriaApple/CountrySelectionView.swift languageDeck; Apple/PaxHistoriaApple/NativeSettingsComponents.swift NativeLanguagePicker; Apple/PaxHistoriaApple/NativeCampaignStore.swift setLanguage; selector native-language-picker","Review setup/settings language flows; run lint and macOS XCTest suite.","Language selection exists in setup and settings, persists through store APIs, and localized string resources are present.","Retest passed","None","None","No fix needed.","Passed in lint and full macOS XCTest run.","Done"
"F004","Setup","AI provider setup before campaign start","As a player using AI turns, I want to select and configure the AI provider before starting, So that the first campaign turn can use the provider I chose.","Setup exposes Apple Foundation Models, OpenRouter Free Router, and Z.AI choices; external providers require API keys before continuing; countries cannot be started until the selected provider is usable.","Apple/PaxHistoriaApple/CountrySelectionView.swift providerSetupDeck providerCard apiKeyField; Apple/PaxHistoriaApple/NativeCampaignStore.swift provider setters; selectors native-provider-* native-provider-continue native-provider-start-warning","Review macOS and iOS setup flow; patch missing macOS setup; run lint, full macOS XCTest, and build_and_run verification.","Provider setup is now present in macOS setup and country rows are disabled until provider requirements are met.","Retest passed","Mac setup previously skipped provider setup and could enter campaign with an unusable external provider.","High","Added providerSetupDeck to macOS setup, provider warning row, and country start gating.","Passed lint, full macOS XCTest, and build_and_run verification.","Done"
"F005","Setup","Country search and empty state","As a player starting a campaign, I want to search for a country, So that I can quickly find the country I want to play.","Search filters by country name or code, clear resets the query, and an empty state appears when there are no matches.","Apple/PaxHistoriaApple/CountrySelectionView.swift searchField countryList clearSearch; selectors native-country-search native-country-empty native-clear-country-search","Review search/filter code and iOS UI path; update iOS UI test for provider setup; run lint, macOS XCTest suite, and iOS UI smoke test.","Search, clear, and empty-state UI are implemented; iOS UI test now reaches search after provider selection.","Retest passed","iOS UI test flow was stale because provider setup now appears before country search.","Medium","Updated PaxHistoriaiOSUITests to select provider and continue before searching.","Passed lint, full macOS XCTest, and dedicated iOS Simulator UI smoke test.","Done"
"F006","Setup","Start campaign by country","As a new player, I want to start as a selected country, So that a playable campaign state is created.","Choosing a country initializes state for the selected scenario/language/provider, persists the selected country, and requests suggestions when appropriate.","Apple/PaxHistoriaApple/CountrySelectionView.swift CountryCard choose; Apple/PaxHistoriaApple/NativeCampaignStore.swift choose; selectors native-country-option-* native-country-continue","Review choose flow and provider gating; run full macOS XCTest and launch verification.","Campaign start path creates state; start buttons now respect provider readiness.","Retest passed","Start controls could be reached while provider configuration was incomplete.","High","Disabled country start until the provider deck reports usable configuration.","Passed full macOS XCTest and build_and_run verification.","Done"
"F007","App Shell","macOS split navigation","As a desktop player, I want a sidebar and toolbar for campaign sections, So that I can move quickly between map, orders, intelligence, economy, library, and settings.","The macOS shell uses a split navigation layout with sidebar destinations and toolbar shortcuts for orders, advance, and advisor.","Apple/PaxHistoriaApple/NativeGameView.swift NativeGameShell NativeMacDestination; selectors native-mac-split-shell native-toolbar-orders native-toolbar-advance native-toolbar-advisor","Review shell navigation code; run build_and_run verification.","macOS navigation destinations and toolbar shortcuts are implemented and app launches successfully.","Retest passed","None","None","No fix needed.","Passed build_and_run verification.","Done"
"F008","App Shell","iOS tab and command navigation","As a mobile player, I want tabs and compact command buttons, So that I can access core game actions on a small screen.","The iOS shell exposes Map, Orders, and Intel tabs plus command buttons/drawer for orders, advisor, diplomacy, and advance.","Apple/PaxHistoriaApple/NativeGameView.swift TabView NativeMapCommandBar CommandConsoleDrawer; selectors native-tab-map native-tab-orders native-tab-intel native-command-*","Review iOS shell code and updated iOS UI test selectors; run lint and iOS UI smoke test.","Mobile navigation code and selectors are present; source compiles through shared lint/build checks and passes iOS smoke navigation.","Retest passed","None","None","No fix needed.","Passed lint and dedicated iOS Simulator UI smoke test for Map, Orders, Intel, Diplomacy, and Events navigation.","Done"
"F009","Onboarding","Contextual help overlay","As a first-time player, I want guided contextual help, So that I understand campaign controls before playing.","On first campaign entry, contextual help pages can be advanced, skipped, or completed; reduced-motion preferences are respected by related visual effects.","Apple/PaxHistoriaApple/NativeContextualHelp.swift; Apple/PaxHistoriaApple/NativeGameView.swift contextualHelpOverlay; selectors native-help-next native-help-skip native-help-got-it","Review contextual help state and controls; run macOS XCTest suite.","Help overlay state and controls are implemented with persistent completion behavior.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F010","Overview","Campaign overview dashboard","As a campaign player, I want an overview dashboard, So that I can understand national status, objectives, recent orders, and next decisions.","Overview renders hero status, metrics, objectives, recent orders, advisor prompts, and map/intelligence summaries with responsive macOS/mobile composition.","Apple/PaxHistoriaApple/NativeOverviewScreen.swift; Apple/PaxHistoriaApple/NativeGameView.swift overview destination; selectors native-overview-*","Review overview screen composition; run build_and_run verification.","Overview dashboard is implemented and reachable from app shell.","Retest passed","None","None","No fix needed.","Passed build_and_run verification.","Done"
"F011","Map","Strategic map layers and legend","As a strategist, I want map layers and a legend, So that I can inspect relations, conflict, economy, and fallout at a glance.","Map supports layer selection, legend rendering, relation/conflict/economic/fallout overlays, and region selection.","Apple/PaxHistoriaApple/NativeMapComponents.swift; Apple/PaxHistoriaApple/NativeWorldMap.swift; selectors native-strategic-map native-map-layer-picker","Review map components and layer model; run lint and build verification.","Layer picker, map, and legend code are implemented and compile.","Retest passed","None","None","No fix needed.","Passed lint and build_and_run verification.","Done"
"F012","Map","Map zoom and region dossier","As a strategist, I want to zoom and inspect regions, So that I can focus on local conditions and choose regional actions.","Map controls adjust zoom/position, selecting a region opens a dossier, and regional actions are disabled when command capacity is insufficient.","Apple/PaxHistoriaApple/NativeMapComponents.swift RegionDetailsCard regional actions; Apple/PaxHistoriaApple/NativeWorldMap.swift; selectors native-region-dossier native-regional-action-*","Review zoom, selection, and dossier code; run lint.","Region dossier and regional action disable states are implemented.","Retest passed","None","None","No fix needed.","Passed lint.","Done"
"F013","Turn Flow","Advance turn menu","As a player, I want to advance time by selected intervals, So that planned actions resolve through the AI engine.","Advance controls offer 1, 3, and 12 month jumps, show progress, call selected provider, validate the generated turn, apply results, and surface provider/validation errors.","Apple/PaxHistoriaApple/NativeGameView.swift NativeAdvanceMenu NativeFloatingAdvanceButton; Apple/PaxHistoriaApple/NativeCampaignStore.swift advance performAdvance; selectors native-advance-*","Review advance menu/store flow; run full macOS XCTest and build verification.","Advance flow is implemented and tested across provider routing and validation paths.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest and build_and_run verification.","Done"
"F014","Turn Flow","Turn progress overlay","As a player waiting for AI resolution, I want visible turn progress, So that I know the app is working and which provider/model is active.","During turn generation the overlay shows phase, progress, provider/model summary, and console-style logs; reduce-motion settings avoid decorative animation.","Apple/PaxHistoriaApple/TurnTransitionOverlay.swift; Apple/PaxHistoriaApple/NativeCampaignStore.swift turnProgress; selectors native-turn-progress-overlay native-turn-progress-phase","Review overlay and store progress updates; run lint/build verification.","Progress overlay is implemented and compiles.","Retest passed","None","None","No fix needed.","Passed lint and build_and_run verification.","Done"
"F015","Turn Flow","Turn report modal","As a player after a time jump, I want a turn report, So that I can review what changed before continuing.","After a successful turn, a report sheet shows summary, metrics, events, and action results; closing clears the report state.","Apple/PaxHistoriaApple/NativeGameView.swift lastTurnReport sheet; Apple/PaxHistoriaApple/NativeTurnReportView.swift; selectors native-turn-report native-turn-report-close","Review report sheet and close handling; run macOS XCTest suite.","Turn report sheet is implemented and report state is cleared through store flow.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F016","Turn Flow","Victory and defeat overlay","As a player who reaches an end state, I want a clear victory or defeat message, So that I understand the campaign outcome and can exit cleanly.","When victoryStatus is no longer ongoing, a blocking overlay explains the outcome and offers exit to main menu.","Apple/PaxHistoriaApple/NativeGameView.swift VictoryDefeatOverlay; Apple/PaxHistoriaApple/NativeGameEngine.swift victory evaluation; selector native-victory-defeat-overlay","Review victory status handling and overlay; run macOS XCTest suite.","Victory/defeat overlay and exit path are implemented.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F017","Orders","Manual order editor","As a player, I want to write my own order, So that I can plan custom strategic actions.","The order editor accepts title/details, previews cost/effects, disables add for empty or over-capacity orders, and inserts valid orders into the queue.","Apple/PaxHistoriaApple/NativeOrdersComponents.swift NativeOrdersEditorPanel; Apple/PaxHistoriaApple/NativeCampaignStore.swift addDraftAction; selectors native-action-editor native-add-order","Review editor validation and store insertion; run macOS XCTest suite.","Manual order creation and validation paths are implemented.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F018","Orders","Directive preview","As a player drafting an order, I want a preview of cost and likely effects, So that I can avoid invalid or wasteful actions.","Preview shows command cost, remaining capacity, projected effects, and warnings before the order is added.","Apple/PaxHistoriaApple/NativeOrdersComponents.swift NativeDirectivePreviewPanel; Apple/PaxHistoriaApple/NativeGameEngine.swift previewDirective; selector native-directive-preview","Review preview panel and engine preview code; run lint.","Directive preview exists and warning logic compiles.","Retest passed","None","None","No fix needed.","Passed lint.","Done"
"F019","Orders","Quick action templates","As a player, I want quick action templates, So that I can add common orders without writing from scratch.","Templates are grouped by category and create planned orders with localized titles/details and command costs.","Apple/PaxHistoriaApple/NativeOrdersComponents.swift NativeQuickActionPicker NativeQuickActionCatalog; selectors native-quick-action-*","Review quick action catalog and picker; run full macOS XCTest.","Quick action templates are implemented and accepted by store insertion paths.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F020","Orders","Delete and refund order","As a player managing the queue, I want to remove planned orders, So that I can recover command capacity before advancing.","Deleting an order removes it from plannedActions and refunds command capacity up to the maximum cap.","Apple/PaxHistoriaApple/NativeOrdersComponents.swift ActionRow; Apple/PaxHistoriaApple/NativeCampaignStore.swift deleteAction; selectors native-delete-order-*","Review delete/refund store logic; run macOS XCTest suite.","Delete/refund behavior is implemented and covered by backend tests.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F021","Orders","AI suggested actions","As a player, I want AI-suggested orders, So that I can turn advisor recommendations into queued actions quickly.","Suggested actions can be refreshed from the selected provider, show loading/error/empty states, and accepting a suggestion adds it as a planned action.","Apple/PaxHistoriaApple/NativeOrdersComponents.swift NativeSuggestedActionsPanel; Apple/PaxHistoriaApple/NativeCampaignStore.swift refreshSuggestedActions addSuggestedAction; selectors native-refresh-suggestions native-use-suggestion-*","Review suggestions panel/provider/store path; run macOS XCTest suite.","Suggestion refresh, error, empty, and accept paths are implemented.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F022","Advisor","Ask advisor","As a player, I want to ask the advisor a question, So that I can get contextual strategic guidance.","Advisor question input disables empty/loading submissions, sends the prompt to the selected provider, persists transcript entries, and shows provider errors without losing the question.","Apple/PaxHistoriaApple/NativeIntelComponents.swift NativeAdvisorPanel; Apple/PaxHistoriaApple/NativeCampaignStore.swift askAdvisor; selectors native-advisor-question native-ask-advisor","Review advisor UI and store error handling; run macOS XCTest suite.","Advisor ask flow and provider error preservation are implemented.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F023","Diplomacy","Send diplomatic message","As a player, I want to message another country, So that I can negotiate or probe diplomatic positions.","The diplomacy panel selects a partner, sends a message through the selected provider, appends the reply to the thread, and shows provider errors without fabricating a reply.","Apple/PaxHistoriaApple/NativeIntelComponents.swift NativeDiplomacyPanel; Apple/PaxHistoriaApple/NativeCampaignStore.swift sendDiplomaticMessage; selectors native-diplomacy-partner native-diplomacy-message native-send-diplomacy","Review diplomacy panel and store flow; run macOS XCTest suite.","Diplomatic messaging and error handling are implemented.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F024","Diplomacy","Diplomatic offers and treaties","As a player receiving offers, I want to accept, counter, or reject proposals, So that treaty outcomes affect the campaign state.","Pending offers show accept/counter/reject actions; accepting/countering updates offer status, relationships, ledger, and timeline; accepted offers appear in the treaty stack.","Apple/PaxHistoriaApple/NativeIntelComponents.swift NativeDiplomacyPanel NativeTreatyStackPanel; Apple/PaxHistoriaApple/NativeCampaignStore.swift acceptDiplomaticOffer counterDiplomaticOffer rejectDiplomaticOffer","Review offer controls and store methods; run macOS XCTest suite.","Offer controls, status changes, ledger entries, and treaty stack are implemented.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F025","Diplomacy","Diplomatic network panel","As a strategist, I want to inspect the diplomatic network, So that I can understand major actors and relationships.","Network panel summarizes top actors, relationship scores, agendas, and diplomatic posture for the current campaign.","Apple/PaxHistoriaApple/NativeIntelComponents.swift NativeDiplomaticNetworkPanel; selector native-diplomatic-network","Review network panel code; run lint/build verification.","Diplomatic network panel is implemented and reachable in intelligence surfaces.","Retest passed","None","None","No fix needed.","Passed lint and build_and_run verification.","Done"
"F026","Events","Campaign events timeline","As a player, I want to read campaign events, So that I can understand recent world changes and action consequences.","Events screen lists timeline events with kind, importance, description, and empty-state messaging when no events exist.","Apple/PaxHistoriaApple/NativeIntelComponents.swift NativeEventsPanel EventCard; selector native-events-panel","Review events panel code; run build verification.","Events timeline and empty state are implemented.","Retest passed","None","None","No fix needed.","Passed build_and_run verification.","Done"
"F027","Economics","World economics and budget controls","As a player, I want economic panels and budget sliders, So that I can track finances and set national priorities.","Economics panels show player budget, world economic cards, fog-of-war masking, and budget sliders that rebalance to a 100 percent allocation.","Apple/PaxHistoriaApple/NativeEconomicsComponents.swift PlayerBudgetPanel NativeWorldEconomicsPanel; Apple/PaxHistoriaApple/NativeCampaignStore.swift updateBudgetSliders; selectors native-economics-* native-budget-*","Review economics panels and budget update logic; run macOS XCTest suite.","Economic panels and budget balancing logic are implemented.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F028","Settings","Difficulty and scenario settings","As a player, I want to adjust difficulty and scenario settings, So that I can tailor the campaign mode and restart scenario-specific state when needed.","Settings expose difficulty/game mode and scenario selection; scenario changes reinitialize campaign state according to selected scenario rules.","Apple/PaxHistoriaApple/NativeSettingsComponents.swift NativeSettingsPanel NativeDifficultyPicker NativeScenarioPicker; Apple/PaxHistoriaApple/NativeCampaignStore.swift setDifficulty setScenario","Review settings controls and store mutations; run macOS XCTest suite.","Difficulty/scenario settings are implemented and covered by scenario/state tests.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F029","Settings","AI provider status and API keys","As a player configuring AI, I want provider status and key fields, So that I know whether the selected AI path can run turns.","Settings expose provider picker, OpenRouter/Z.AI key fields, status checks, and warning copy that matches the selected provider without implying silent fallback.","Apple/PaxHistoriaApple/NativeSettingsComponents.swift NativeAIStatusPanel; Apple/PaxHistoriaApple/NativeFoundationModelService.swift; selectors native-ai-provider-picker native-openrouter-key native-zai-key","Review provider settings/status copy; patch stale copy; run lint and full macOS XCTest.","Provider settings are implemented and copy now accurately says OpenRouter requires an API key.","Retest passed","OpenRouter text previously suggested fallback behavior inconsistent with selected-provider correctness.","Medium","Updated OpenRouter subtitle/warning copy to describe required API key without implying fallback.","Passed lint and full macOS XCTest run.","Done"
"F030","Settings","Save slot picker","As a player, I want visible save slots, So that I can switch between campaigns without hidden state management.","Settings show three save slots with active/empty summaries; switching slots immediately loads that slot or returns to setup when empty.","Apple/PaxHistoriaApple/NativeSettingsComponents.swift NativeSaveSlotPicker; Apple/PaxHistoriaApple/NativeCampaignStore+Persistence.swift switchSlot slotSummary; selectors native-save-slot-picker native-save-slot-summary-*","Review persistence APIs and settings surface; add missing UI; run lint, full macOS XCTest, and build verification.","Save slot UI is now present in settings and uses existing slot APIs.","Retest passed","Save-slot backend existed but had no visible settings control for players.","Medium","Added NativeSaveSlotPicker and inserted it into settings after the scenario picker.","Passed lint, full macOS XCTest, and build_and_run verification.","Done"
"F031","Library","Campaign import and export","As a player, I want to import and export campaign data, So that I can back up or move a campaign.","Library exports campaign JSON with a generated filename, imports validated JSON, rejects oversize/invalid data, and shows success/error messages.","Apple/PaxHistoriaApple/NativeLibraryComponents.swift NativeLibraryPanel; Apple/PaxHistoriaApple/NativeGameView.swift fileImporter fileExporter; Apple/PaxHistoriaApple/NativeCampaignStore.swift exportCampaignData importCampaignData; selectors native-library-export native-library-import","Review library panel, importer/exporter, and store validation; run macOS XCTest suite.","Import/export flows and validation are implemented.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F032","Persistence","Local persistence and recovery","As a player, I want local saves to recover from interruption or corruption, So that campaign progress is not lost unnecessarily.","Persistence writes slot-scoped envelopes/backups, prefers the newest valid save, falls back to backup/legacy data, and records recovery notices.","Apple/PaxHistoriaApple/NativeCampaignStore+Persistence.swift; Apple/PaxHistoriaApple/NativeCampaignStore.swift recoveryNotice; UserDefaults keys NativeCampaignStore.*","Review persistence implementation and tests; run full macOS XCTest suite.","Slot-scoped persistence, backup fallback, legacy import, and recovery notices are implemented and tested.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F033","AI Providers","Selected-provider routing","As a player selecting an AI provider, I want all AI surfaces to use that provider, So that turns, suggestions, advisor, and diplomacy stay consistent.","DynamicAIService routes turn generation, suggestions, advisor, and diplomacy through the selected provider; OpenRouter free mode uses the unified turn route and does not silently fall back to Apple.","Apple/PaxHistoriaApple/DynamicAIService.swift; Apple/PaxHistoriaApple/NativeOpenRouterService.swift; Apple/PaxHistoriaApple/NativeZAIService.swift; Apple/PaxHistoriaApple/NativeFoundationModelService.swift","Run focused OpenRouter routing test; fix fixture issue; run full macOS XCTest suite.","Provider routing tests now pass and validate all game AI surfaces through OpenRouter free mode.","Retest passed","Test fixture generated an invalid linkedActionID when no planned action existed, causing provider-routing test failure.","Medium","Updated CapturingOpenRouterGameService fixture to emit null linkedActionID when there is no planned action.","Focused routing test and full macOS XCTest passed.","Done"
"F034","Errors","User-visible error banners and warnings","As a player encountering failures, I want clear visible errors, So that I know what failed and what I can fix.","Provider errors, import errors, suggestion failures, recovery warnings, and validation failures are shown through banners/warnings instead of silent failure.","Apple/PaxHistoriaApple/NativeGameView.swift ErrorBanner SuggestionWarning; Apple/PaxHistoriaApple/NativeCampaignStore.swift error fields; Apple/PaxHistoriaApple/NativeCampaignStoreError","Review error-state UI and store error assignments; run macOS XCTest suite.","Error banners/warnings are implemented across provider, import, suggestion, and persistence paths.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F035","Async Edge Cases","Stale async response cancellation","As a player changing state during AI work, I want stale responses ignored, So that old provider replies cannot corrupt the current campaign.","State versioning and cancellation invalidate in-flight turn/suggestion/advisor/diplomacy work after reset, import, slot switch, or campaign replacement.","Apple/PaxHistoriaApple/NativeCampaignStore.swift stateVersion cancelInFlightTurn invalidateInFlightWork; provider task call sites","Review async guard implementation and tests; run macOS XCTest suite.","Stale-response guards and cancellation hooks are implemented and covered by backend/error-path tests.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F036","Accessibility","Identifiers, labels, and reduced motion","As a keyboard, VoiceOver, or automation user, I want controls to have labels and stable identifiers, So that the app is navigable and testable.","Core setup, navigation, orders, advisor, diplomacy, map, import/export, provider, and save-slot controls expose accessibility labels/identifiers; motion-heavy surfaces respect reduce-motion state.","Apple/PaxHistoriaApple/*.swift accessibilityLabel/accessibilityIdentifier usage; selectors native-*; NativeContextualHelp.swift; TurnTransitionOverlay.swift","Review accessibility identifiers/labels in touched and core surfaces; run lint/build verification.","Core controls have stable identifiers and labels; new provider/save-slot controls include identifiers. Full manual VoiceOver pass remains outside this automated audit.","Retest passed","Missing identifiers would have made new provider/save-slot UI harder to test if left unaddressed.","Low","Added identifiers for provider start warning and save-slot picker/summary rows.","Passed lint and build_and_run verification.","Done"
"F037","Service Worker / Offline","Native offline behavior and no service worker","As a native app user, I want offline expectations to be clear, So that local saves work while provider-backed AI actions fail visibly without network/API access.","The active Apple app has no service worker; offline resilience is local persistence/import/export plus visible provider errors when external AI cannot be reached.","Apple/PaxHistoriaApple/README.md; Apple/PaxHistoriaApple/NativeCampaignStore+Persistence.swift; Apple/PaxHistoriaApple/NativeOpenRouterService.swift; no service-worker files in active Apple surface","Inspect active Apple surface for service-worker/PWA code; review persistence and provider error paths.","No service worker is implemented in the active native product; local persistence and provider error paths cover offline behavior.","Retest passed","None","None","No fix needed; documented as not applicable to native Apple app.","Reviewed current codebase and final report documents scope.","Done"
"F038","Settings","Manual save, reset, and exit to menu","As a player, I want save/reset/exit controls, So that I can preserve progress, clear a campaign, or return to setup intentionally.","Settings exposes manual save unless ironman mode makes autosave authoritative, reset clears the selected slot/campaign, and exit returns to setup while preserving restorable state.","Apple/PaxHistoriaApple/NativeSettingsComponents.swift; Apple/PaxHistoriaApple/NativeCampaignStore.swift manualSaveCampaign resetSelection exitToMainMenu","Review settings action controls and persistence methods; run macOS XCTest suite.","Manual save, reset, and exit-to-menu flows are implemented with persistence hooks.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest run.","Done"
"F039","Rate Limits","Provider throttling and retry feedback","As a player using remote providers, I want rate-limit handling, So that the app behaves predictably under provider throttling or transient failures.","Remote provider calls use rate limiter/backoff paths, report provider-specific errors, and expose selected-provider status without leaking secrets.","Apple/PaxHistoriaApple/NativeRateLimiter.swift; Apple/PaxHistoriaApple/NativeOpenRouterService.swift; Apple/PaxHistoriaApple/NativeZAIService.swift; Apple/PaxHistoriaApple/NativeAIProviderSecrets.swift","Review rate limiter and provider services; run full macOS XCTest suite.","Rate limiter and provider error mapping are implemented; live provider tests skip without environment keys.","Retest passed","None","None","No fix needed.","Passed full macOS XCTest; live provider tests skipped because no live API env was configured.","Done"
"F040","Testing Surface","iOS campaign smoke test path","As a maintainer, I want the iOS UI smoke test to follow the real setup flow, So that future UI regressions catch broken onboarding.","The UI test launches the app, selects an AI provider, continues to country selection, searches for Brazil, and verifies core campaign tabs.","Apple/PaxHistoriaAppleUITests/PaxHistoriaiOSUITests.swift; selectors native-provider-appleFoundation native-provider-continue native-country-search native-tab-*","Review and patch stale UI test path; run lint, macOS build/test gates, and dedicated iOS Simulator UI smoke test.","UI test source matches the provider-first setup flow; dedicated simulator execution passed on PaxHistoria-iPhone-SE (iOS 26.5).","Retest passed","UI test previously searched countries before completing provider setup.","Medium","Inserted provider selection and continue steps before country search.","Passed lint, shared macOS gates, and dedicated iOS Simulator UI smoke test on PaxHistoria-iPhone-SE (iOS 26.5).","Done"
